,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
AGUAS-A.SN,0.0004034490001906695,0.00013181189407990068,0.0001539219599688235,0.00014160321504682526,0.00014507987591594397,0.000133048480126012,0.000152074795285096,0.00013027149587083116,0.00014328571227122566,0.00014182646551734975,0.00013643911120113104,0.00017062780184513764,0.00015303408418762147,0.00015075059029387932
ANDINA-B.SN,0.00013181189407990068,0.00033598226252094104,0.00013656148719396355,0.00013912869314878503,0.00014296487088034316,0.00012341394915635213,0.00013268353830660004,0.00010610729673324711,0.00012520849332614274,0.00013747807822793546,0.000141788660759719,0.0001521164463920965,0.00014633019401641517,0.0001349769866918229
BCI.SN,0.0001539219599688235,0.00013656148719396355,0.00035687276671011726,0.0002049074287324679,0.0001703864306018683,0.00017252360122125128,0.00020399469159277842,0.00015929128821151308,0.00016991066002106228,0.00016910838923914865,0.0001510864655555686,0.000190791536450515,0.0001815697240873093,0.00017969858038775473
BSANTANDER.SN,0.00014160321504682526,0.00013912869314878503,0.0002049074287324679,0.00033096466078878865,0.000180225727975796,0.00016455016765618645,0.00019316762454376079,0.00016725868783723798,0.00016205611165776997,0.00015486157490297793,0.00016127354905818322,0.00016851244778973566,0.00016591596776014325,0.0001828700851243461
CAP.SN,0.00014507987591594397,0.00014296487088034316,0.0001703864306018683,0.000180225727975796,0.0006925050944638019,0.00019896174196105804,0.00024228209304523408,0.0001332103581016469,0.0001684189297384029,0.00017567745272110334,0.0001729350998279615,0.00022512213684034704,0.00019662099664985525,0.0002792177544084311
CENCOMALLS.SN,0.000133048480126012,0.00012341394915635213,0.00017252360122125128,0.00016455016765618645,0.00019896174196105804,0.0005825512580230532,0.00019274028586414057,0.0001465512387650307,0.0001491016738245255,0.00011355737550805953,0.00022325782502517194,0.00025756437931823085,0.00017219492903711918,0.00014969664709725924
CMPC.SN,0.000152074795285096,0.00013268353830660004,0.00020399469159277842,0.00019316762454376079,0.00024228209304523408,0.00019274028586414057,0.000478411976909388,0.00017904964645188922,0.0001566516359560807,0.00015782020249345137,0.00016901955970006965,0.0002014807743327165,0.00017404899895098982,0.00022917237750199647
ENELCHILE.SN,0.00013027149587083116,0.00010610729673324711,0.00015929128821151308,0.00016725868783723798,0.0001332103581016469,0.0001465512387650307,0.00017904964645188922,0.00041321770338250275,0.00014130002986940436,0.00010783133880396106,0.0001394887271508333,0.0001582631364099894,0.00016160418728298793,0.00015326953394873244
ENTEL.SN,0.00014328571227122566,0.00012520849332614274,0.00016991066002106228,0.00016205611165776997,0.0001684189297384029,0.0001491016738245255,0.0001566516359560807,0.00014130002986940436,0.0004816673585044706,0.00012703973181596998,0.00014580884157725088,0.00017568782418770704,0.00015840780896854233,0.0001659415010871589
ITAUCL.SN,0.00014182646551734975,0.00013747807822793546,0.00016910838923914865,0.00015486157490297793,0.00017567745272110334,0.00011355737550805953,0.00015782020249345137,0.00010783133880396106,0.00012703973181596998,0.00042457498002599633,0.00013720223012702215,0.00017208788328658298,0.0001773621025393954,0.00019086248015221844
MALLPLAZA.SN,0.00013643911120113104,0.000141788660759719,0.0001510864655555686,0.00016127354905818322,0.0001729350998279615,0.00022325782502517194,0.00016901955970006965,0.0001394887271508333,0.00014580884157725088,0.00013720223012702215,0.000522771371814086,0.00026313730026180797,0.00021582237441737344,0.00015718704191460323
PARAUCO.SN,0.00017062780184513764,0.0001521164463920965,0.000190791536450515,0.00016851244778973566,0.00022512213684034704,0.00025756437931823085,0.0002014807743327165,0.0001582631364099894,0.00017568782418770704,0.00017208788328658298,0.00026313730026180797,0.0005190173461785109,0.00023417669271646885,0.0001945378655615686
RIPLEY.SN,0.00015303408418762147,0.00014633019401641517,0.0001815697240873093,0.00016591596776014325,0.00019662099664985525,0.00017219492903711918,0.00017404899895098982,0.00016160418728298793,0.00015840780896854233,0.0001773621025393954,0.00021582237441737344,0.00023417669271646885,0.0005509815640398652,0.00017111869546292385
SQM-B.SN,0.00015075059029387932,0.0001349769866918229,0.00017969858038775473,0.0001828700851243461,0.0002792177544084311,0.00014969664709725924,0.00022917237750199647,0.00015326953394873244,0.0001659415010871589,0.00019086248015221844,0.00015718704191460323,0.0001945378655615686,0.00017111869546292385,0.0008692629326575652
