iter,objective,start,conv_p,conv_x,delta_rel
0,1317.232150973078,3,False,False,
1,90.8874943091679,3,True,True,0.9310011570534263
2,2.0811503114080927,3,True,True,0.9771019068439745
3,2.0329803683938508,3,True,True,0.023145826012743557
4,1.9837850386259057,3,True,True,0.024198625098769376
5,1.9346872787882479,3,True,True,0.02474953630643434
6,1.885603146153553,3,True,True,0.025370577029592292
7,1.8365595400775963,3,True,True,0.026009505858098973
8,1.787518138586131,3,True,True,0.02670286501540078
9,1.7373657545664016,3,True,True,0.028056993066022915
10,1.685582340703853,3,True,True,0.029805706556845588
11,1.6337759677739951,3,True,True,0.03073499981507533
12,1.5830494119397118,3,True,True,0.03104866079243823
13,1.5334701449243389,3,True,True,0.031318837328388964
14,1.4858923072726893,3,True,True,0.031026256239221426
15,1.440881181509737,3,True,True,0.030292320340185662
16,1.3976814710237964,3,True,True,0.029981452350322627
17,1.3531782403487629,3,True,True,0.031840753131257574
18,1.30723677511632,3,True,True,0.03395078627673474
19,1.26080062418233,3,True,True,0.035522371935889446
20,1.2155150869913875,3,True,True,0.03591807960935586
21,1.1716272862263648,3,True,True,0.03610633980168573
22,1.131848956667727,3,True,True,0.03395135127547589
23,1.098118088478331,3,True,True,0.029801563177363443
24,1.067744066084694,3,True,True,0.02766006926968927
25,1.0402523775216734,3,True,True,0.025747451506618002
26,1.0153380983386275,3,True,True,0.023950225658102724
27,0.992419288187753,3,True,True,0.022572589552537617
28,0.9712565672916281,3,True,True,0.021324374836314025
29,0.9514826518342507,3,True,True,0.02035910605217019
30,0.9328517651772995,3,True,True,0.01958089999961152
31,0.9151195309422582,3,True,True,0.019008630199303
32,0.8978246061083328,3,True,True,0.018899088314833192
33,0.8810905476634426,3,True,True,0.01863844934859402
34,0.8647420156372271,3,True,True,0.018554883002151766
35,0.8482874451833381,3,True,True,0.01902829995110693
36,0.8312488286428387,3,True,True,0.020085899699714208
37,0.8146076738939567,3,True,True,0.020019462494800227
38,0.7984188407974452,3,True,True,0.019873165470080112
39,0.7819639101494711,3,True,True,0.020609396731568388
40,0.7686482504299031,3,True,True,0.017028483727600224
41,0.7550573280235503,3,True,True,0.017681588943621214
42,0.7436875578064258,3,True,True,0.0150581549176817
43,0.7336328670372415,3,True,True,0.013520047046138585
44,0.7242830132825766,3,True,True,0.01274459498033576
45,0.7158974138120824,3,True,True,0.011577793924059668
46,0.7082964960421775,3,True,True,0.010617328157983077
47,0.7012241604684064,3,True,True,0.009984993026620797
48,0.6943288005401651,3,True,True,0.009833317670665375
49,0.6880844050169159,3,True,True,0.008993427203915855
50,0.681959158947533,3,True,True,0.008901881839951643
51,0.67599880227595,3,True,True,0.00874004930261936
52,0.6697914709621384,3,True,True,0.009182459041204764
53,0.6632966256683661,3,True,True,0.009696816957721087
54,0.6578015350719477,3,True,True,0.00828451462552372
55,0.6517046188411544,3,True,True,0.009268625726325207
56,0.6458685555343245,3,True,True,0.008955074335975147
57,0.6404301499313874,3,True,True,0.00842029783975098
58,0.6352941724074305,3,True,True,0.008019574850589274
59,0.6302773922151551,3,True,True,0.007896782955298502
60,0.6255905700258737,3,True,True,0.007436126136147442
61,0.6209634358549502,3,True,True,0.007396425701756919
62,0.6164671748861184,3,True,True,0.007240782160762934
63,0.6122254805533907,3,True,True,0.006880649133515334
64,0.6081064142328663,3,True,True,0.006728021703367258
65,0.6042673208813635,3,True,True,0.00631319331886926
66,0.600550462517526,3,True,True,0.006151016669923624
67,0.5970354807798695,3,True,True,0.0058529331955149205
68,0.5935202488293687,3,True,True,0.0058878107979497794
69,0.5902668757025026,3,True,True,0.005481486323806897
70,0.5871112061994692,3,True,True,0.005346174133983577
71,0.5841662827322678,3,True,True,0.005015955130987379
72,0.5814600524878519,3,True,True,0.0046326368440054696
73,0.5789403796965961,3,True,True,0.004333354940671828
74,0.5765414493273062,3,True,True,0.004143657021372219
75,0.5742359232830594,3,True,True,0.003998890360672004
76,0.5720316311648787,3,True,True,0.0038386524228132177
77,0.5699086233835017,3,True,True,0.0037113468306813617
78,0.5678692280903403,3,True,True,0.0035784601416452054
79,0.5659099774585027,3,True,True,0.0034501792576838142
80,0.5640370093590887,3,True,True,0.003309657320095552
81,0.5622346537830821,3,True,True,0.003195456230879987
82,0.5604957900533879,3,True,True,0.0030927722401864147
83,0.558817868923791,3,True,True,0.0029936373463822848
84,0.5572031792462108,3,True,True,0.002889473954523073
85,0.5556352028220874,3,True,True,0.0028140119843567232
86,0.5541093191666399,3,True,True,0.00274619687106727
87,0.5526090900425983,3,True,True,0.002707460553623528
88,0.551110489974413,3,True,True,0.0027118628614433747
89,0.5496206507197513,3,True,True,0.002703340404077948
90,0.5481631537141334,3,True,True,0.0026518235872444377
91,0.5467305475649542,3,True,True,0.002613466701418719
92,0.5453249756952032,3,True,True,0.0025708676349046116
93,0.5439392983345095,3,True,True,0.0025410120981982642
94,0.5425521761147803,3,True,True,0.0025501415764108766
95,0.5411465604586221,3,True,True,0.002590747430452307
96,0.5397238313084898,3,True,True,0.002629101345343328
97,0.5382867275877184,3,True,True,0.002662664936036999
98,0.5368403773207848,3,True,True,0.0026869513826072275
99,0.5353913527641033,3,True,True,0.0026991720777607363
100,0.533947510181204,3,True,True,0.0026967984735696356
101,0.5325143670583627,3,True,True,0.0026840524499350464
102,0.5310959997276129,3,True,True,0.002663528758073364
103,0.5296946908272656,3,True,True,0.002638522792608771
104,0.5283118650882035,3,True,True,0.002610609022529268
105,0.5269482617860142,3,True,True,0.002581057500874187
106,0.5256110743294833,3,True,True,0.002537606732008465
107,0.5242998846365171,3,True,True,0.0024946005839704796
108,0.5230079867006985,3,True,True,0.0024640439063071794
109,0.5217205898867466,3,True,True,0.0024615241959701144
110,0.5204604570500234,3,True,True,0.0024153404353743175
111,0.5192259773570299,3,True,True,0.002371899106395482
112,0.518016929609099,3,True,True,0.0023285578931989083
113,0.516824540647847,3,True,True,0.002301833961583926
114,0.515649759017234,3,True,True,0.002273076330969387
115,0.5144873032146771,3,True,True,0.0022543514899922815
116,0.513341203227483,3,True,True,0.002227654560240151
117,0.5122077000605411,3,True,True,0.002208089200346986
118,0.5110851221145425,3,True,True,0.002191645978503827
119,0.5099692439981626,3,True,True,0.002183350812015323
120,0.5088666175546147,3,True,True,0.002162143024353977
121,0.5077763343106343,3,True,True,0.002142571759212046
122,0.5066903414329527,3,True,True,0.0021387229067180795
123,0.5056171049318723,3,True,True,0.0021181309634659253
124,0.504554751070545,3,True,True,0.0021011034851526433
125,0.5035041154104424,3,True,True,0.0020823025803867277
126,0.5024409838297641,3,True,True,0.002111465523592656
127,0.5013420957700732,3,True,True,0.002187098773895154
128,0.500188130380714,3,True,True,0.0023017524343021127
129,0.4989906475342609,3,True,True,0.0023940649002190404
130,0.49777669730778995,3,True,True,0.0024328115816743623
131,0.4965351120895533,3,True,True,0.002494261432785468
132,0.49526767818059964,3,True,True,0.0025525564619537566
133,0.49397943595091515,3,True,True,0.002601102972062169
134,0.492676073357745,3,True,True,0.002638495650448546
135,0.49135978972566596,3,True,True,0.0026717019625196407
136,0.4900351181096317,3,True,True,0.0026959300368700665
137,0.48870768966914424,3,True,True,0.0027088434918816568
138,0.4873753308768394,3,True,True,0.0027262898056794414
139,0.4860394159993772,3,True,True,0.002741039180329378
140,0.4847025081507525,3,True,True,0.0027506161118086908
141,0.483364353823099,3,True,True,0.0027607745063174738
142,0.4820700762948635,3,True,True,0.00267764372361335
143,0.48084653668225724,3,True,True,0.0025380949218165322
144,0.47964600298720306,3,True,True,0.0024967086242008206
145,0.47845941508198,3,True,True,0.0024738826089045177
146,0.4772862082026453,3,True,True,0.0024520509835326935
147,0.4761070975083703,3,True,True,0.0024704478654699762
148,0.4749339875310702,3,True,True,0.002463962380390784
149,0.47376275020385533,3,True,True,0.0024661055177394933
150,0.4725983046117426,3,True,True,0.002457866498810215
